	PRECIP	SNOW																							
1/1/2011	0	0																							
1/2/2011	0.02	0																							
1/3/2011	0.02	0																							
1/4/2011	0	0																							
1/5/2011	0	0																							
1/6/2011	0	0																							
1/7/2011	0.1	1																							
1/8/2011	0.02	0																							
1/9/2011	0.05	1.5																							
1/10/2011	0	0																							
1/11/2011	0	0																							
1/12/2011	0.35	4.5																							
1/13/2011	0	0																							
1/14/2011	0	0																							
1/15/2011	0	0																							
1/16/2011	0	0																							
1/17/2011	0	0																							
1/18/2011	0.28	0.5																							
1/19/2011	0.3	0																							
1/20/2011	0	0																							
1/21/2011	0.26	2.5																							
1/22/2011	0	0																							
1/23/2011	0	0																							
1/24/2011	0	0																							
1/25/2011	0	0																							
1/26/2011	0.07	1																							
1/27/2011	1.46	13																							
1/28/2011	0.04	0																							
1/29/2011	0.04	0																							
1/30/2011	0	0																							
1/31/2011	0	0																							
2/1/2011	0.06	0																							
2/2/2011	0.68	0.5																							
2/3/2011	0.05	0																							
2/4/2011	0	0																							
2/5/2011	0.1	0																							
2/6/2011	0.23	0																							
2/7/2011	0	0																							
2/8/2011	0.07	0																							
2/9/2011	0	0																							
2/10/2011	0	0																							
2/11/2011	0	0																							
2/12/2011	0	0																							
2/13/2011	0	0																							
2/14/2011	0	0																							
2/15/2011	0	0																							
2/16/2011	0	0																							
2/17/2011	0	0																							
2/18/2011	0	0																							
2/19/2011	0	0																							
2/20/2011	0	0																							
2/21/2011	0.03	0																							
2/22/2011	0.35	4																							
2/23/2011	0	0																							
2/24/2011	0	0																							
2/25/2011	0.65	0																							
2/26/2011	0.17	0																							
2/27/2011	0	0																							
2/28/2011	0.27	0																							
3/1/2011	0.17	0																							
3/2/2011	0	0																							
3/3/2011	0	0																							
3/4/2011	0	0																							
3/5/2011	0	0																							
3/6/2011	0.08	0																							
3/7/2011	1.98	0																							
3/8/2011	0	0																							
3/9/2011	0	0																							
3/10/2011	0.45	0																							
3/11/2011	2.15	0																							
3/12/2011	0	0																							
3/13/2011	0	0																							
3/14/2011	0	0																							
3/15/2011	0	0																							
3/16/2011	0.5	0																							
3/17/2011	0	0																							
3/18/2011	0	0																							
3/19/2011	0	0																							
3/20/2011	0	0																							
3/21/2011	0.25	0																							
3/22/2011	0.1																								
3/23/2011	0.13	0																							
3/24/2011	0.27	0																							
3/25/2011	0	0																							
3/26/2011	0	0																							
3/27/2011	0	0																							
3/28/2011	0	0																							
3/29/2011	0	0																							
3/30/2011	0	0																							
3/31/2011	0.15	0																							
1/1/2012	0	0																							
1/2/2012	0.04	0																							
1/3/2012	0	0																							
1/4/2012	0	0																							
1/5/2012	0	0																							
1/6/2012	0	0																							
1/7/2012	0	0																							
1/8/2012	0	0																							
1/9/2012	0	0																							
1/10/2012	0	0																							
1/11/2012	0	0																							
1/12/2012	0.85	0																							
1/13/2012	0.15	0																							
1/14/2012	0	0																							
1/15/2012	0	0																							
1/16/2012	0	0																							
1/17/2012	0.08	0																							
1/18/2012	0.25	0																							
1/19/2012	0	0																							
1/20/2012	0	0																							
1/21/2012	0.3	4																							
1/22/2012	0.02	0																							
1/23/2012	0	0																							
1/24/2012	0.15	0																							
1/25/2012	0	0																							
1/26/2012	0.03	0																							
1/27/2012	0.17	0																							
1/28/2012	0.2	0																							
1/29/2012	0	0																							
1/30/2012	0	0																							
1/31/2012	0	0																							
2/1/2012	0.05	0																							
2/2/2012	0	0																							
2/3/2012	0	0																							
2/4/2012	0	0																							
2/5/2012	0	0																							
2/6/2012	0	0																							
2/7/2012	0	0																							
2/8/2012	0	0																							
2/9/2012	0.15	1																							
2/10/2012	0	0																							
2/11/2012	0.14	1																							
2/12/2012	0.04	1																							
2/13/2012	0	0																							
2/14/2012	0	0																							
2/15/2012	0.02	0																							
2/16/2012	0	0																							
2/17/2012	0.2	0																							
2/18/2012	0	0																							
2/19/2012	0	0																							
2/20/2012	0	0																							
2/21/2012	0	0																							
2/22/2012	0	0																							
2/23/2012	0	0																							
2/24/2012	0.2	0																							
2/25/2012	0.02	0																							
2/26/2012	0	0																							
2/27/2012	0	0																							
2/28/2012	0	0																							
2/29/2012	0	0																							
3/1/2012	1.4	0																							
3/2/2012	0	0																							
3/3/2012	0.17	0																							
3/4/2012	0.02	0																							
3/5/2012	0	0																							
3/6/2012	0	0																							
3/7/2012	0	0																							
3/8/2012	0	0																							
3/9/2012	0	0																							
3/10/2012	0	0																							
3/11/2012	0	0																							
3/12/2012	0	0																							
3/13/2012	0.11	0																							
3/14/2012	0	0																							
3/15/2012	0	0																							
3/16/2012	0	0																							
3/17/2012	0	0																							
3/18/2012	0	0																							
3/19/2012	0	0																							
3/20/2012	0	0																							
3/21/2012	0	0																							
3/22/2012	0	0																							
3/23/2012	0	0																							
3/24/2012	0	0																							
3/25/2012	0.06	0																							
3/26/2012	0	0																							
3/27/2012	0	0																							
3/28/2012	0	0																							
3/29/2012	0	0																							
3/30/2012	0	0																							
3/31/2012	0.45	0																							
1/1/2013	0	0																							
1/2/2013	0	0																							
1/3/2013	0	0																							
1/4/2013	0	0																							
1/5/2013	0	0																							
1/6/2013	0	0																							
1/7/2013	0	0																							
1/8/2013	0	0																							
1/9/2013	0	0																							
1/10/2013	0	0																							
1/11/2013	0	0																							
1/12/2013	0.53	0																							
1/13/2013	0	0																							
1/14/2013	0.03	0																							
1/15/2013	0.23	0																							
1/16/2013	0.98	0																							
1/17/2013	0.04	0																							
1/18/2013	0	0																							
1/19/2013	0	0																							
1/20/2013	0	0																							
1/21/2013	0	0																							
1/22/2013	0	0																							
1/23/2013	0	0																							
1/24/2013	0	0																							
1/25/2013	0	0																							
1/26/2013	0.05	1																							
1/27/2013	0	0																							
1/28/2013	0	0																							
1/29/2013	0.23	0.5																							
1/30/2013	0	0																							
1/31/2013	2.75	0																							
2/1/2013	0	0																							
2/2/2013	0	0																							
2/3/2013	0.13	2																							
2/4/2013	0	0																							
2/5/2013	0	0																							
2/6/2013	0.02	0																							
2/7/2013	0	0																							
2/8/2013	0.05	0																							
2/9/2013	0.25	1																							
2/10/2013	0	0																							
2/11/2013	0.4	0																							
2/12/2013	0	0																							
2/13/2013	0	0																							
2/14/2013	0.22	2																							
2/15/2013	0	0																							
2/16/2013	0.25	1																							
2/17/2013	0	0																							
2/18/2013	0	0																							
2/19/2013	0	0																							
2/20/2013	0.2	0																							
2/21/2013	0	0																							
2/22/2013	0	0																							
2/23/2013	0	0																							
2/24/2013	0.1	0																							
2/25/2013	0	0																							
2/26/2013	0	0																							
2/27/2013	0.35	0																							
2/28/2013	0.05	0																							
3/1/2013	0	0																							
3/2/2013	0	0																							
3/3/2013	0	0																							
3/4/2013	0	0																							
3/5/2013	0	0																							
3/6/2013	0.03	0																							
3/7/2013	0.12	0																							
3/8/2013	0	0																							
3/9/2013	0.02	0																							
3/10/2013	0	0																							
3/11/2013	0	0																							
3/12/2013	0.38	0																							
3/13/2013	1.24	0																							
3/14/2013	0	0																							
3/15/2013	0	0																							
3/16/2013	0	0																							
3/17/2013	0.2	0																							
3/18/2013	0	0																							
3/19/2013	0.45	0.5																							
3/20/2013	0	0																							
3/21/2013	0.03	1																							
3/22/2013	0	0																							
3/23/2013	0	0																							
3/24/2013	0	0																							
3/25/2013	0.13	1.5																							
3/26/2013	0.2	4																							
3/27/2013	0	0																							
3/28/2013	0	0																							
3/29/2013	0	0																							
3/30/2013	0	0																							
3/31/2013	0	0																							
1/1/2014	0	0																							
1/2/2014	0	0																							
1/3/2014	0.36	5.5																							
1/4/2014	0	0																							
1/5/2014	0	0																							
1/6/2014	0.77	0																							
1/7/2014	0	0																							
1/8/2014	0	0																							
1/9/2014	0	0																							
1/10/2014	0	0																							
1/11/2014	0.65	1																							
1/12/2014	0.68	0																							
1/13/2014	0	0																							
1/14/2014	0	0																							
1/15/2014	0.33	0																							
1/16/2014	0	0																							
1/17/2014	0	0																							
1/18/2014	0	0																							
1/19/2014	0	0																							
1/20/2014	0	0																							
1/21/2014	0	0																							
1/22/2014	0.35	8																							
1/23/2014	0	0																							
1/24/2014	0	0																							
1/25/2014	0	0																							
1/26/2014	0.1	1.5																							
1/27/2014	0	0																							
1/28/2014	0	0																							
1/29/2014	0.03	0.5																							
1/30/2014	0	0																							
1/31/2014	0	0																							
2/1/2014	0	0																							
2/2/2014	0	0																							
2/3/2014	0	0																							
2/4/2014	1.18	8																							
2/5/2014	0	0																							
2/6/2014	1.48	0																							
2/7/2014	0	0																							
2/8/2014	0	0																							
2/9/2014	0	0																							
2/10/2014	0.17	2																							
2/11/2014	0	0																							
2/12/2014	0	0																							
2/13/2014	0	0																							
2/14/2014	1.6	19																							
2/15/2014	0	0																							
2/16/2014	0.15	2																							
2/17/2014	0	0																							
2/18/2014	0.12	2																							
2/19/2014	0	0																							
2/20/2014	0.24	0																							
2/21/2014	0	0																							
2/22/2014	0	0																							
2/23/2014	0	0																							
2/24/2014	0.08	0																							
2/25/2014	0	0																							
2/26/2014	0	0																							
2/27/2014	0.04	1																							
2/28/2014	0	0																							
3/1/2014	0	0																							
3/2/2014	0	0																							
3/3/2014	0	0																							
3/4/2014	0.16	1																							
3/5/2014	0	0																							
3/6/2014	0	0																							
